ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3
MLM1967365823,0,0.0,0,0,0,0,0,,,,,,
MLM1983668885,0,0.0,0,0,0,0,0,,,,,,
MLM2308386390,0,0.0,0,0,0,0,0,,,,,,
MLM2308458648,0,0.0,0,0,0,0,0,,,,,,
MLM840651317,0,0.0,0,0,0,0,0,,,,,,
MLM1939142355,0,0.0,0,0,0,0,0,,,,,,
MLM1955181317,0,0.0,0,0,0,0,0,,,,,,
MLM1970132389,1,5.0,0,0,0,0,1,,,,,,
MLM1973475349,0,0.0,0,0,0,0,0,,,,,,
MLM1976678053,0,0.0,0,0,0,0,0,,,,,,
MLM2244498956,0,0.0,0,0,0,0,0,,,,,,
MLM2655652086,0,0.0,0,0,0,0,0,,,,,,
MLM1892660600,0,0.0,0,0,0,0,0,,,,,,
MLM2766530256,0,0.0,0,0,0,0,0,,,,,,
MLM2695170636,0,0.0,0,0,0,0,0,,,,,,
MLM2530832336,0,0.0,0,0,0,0,0,,,,,,
MLM1946657739,0,0.0,0,0,0,0,0,,,,,,
MLM1888788653,0,0.0,0,0,0,0,0,,,,,,
MLM1981481919,0,0.0,0,0,0,0,0,,,,,,
MLM2708238286,0,0.0,0,0,0,0,0,,,,,,
MLM1952704533,0,0.0,0,0,0,0,0,,,,,,
MLM2420040478,0,0.0,0,0,0,0,0,,,,,,
MLM1935101543,1,5.0,0,0,0,0,1,,,,,,
MLM1931775691,1,5.0,0,0,0,0,1,,,,,,
MLM1950240999,0,0.0,0,0,0,0,0,,,,,,
MLM1892669388,0,0.0,0,0,0,0,0,,,,,,
MLM1504047332,0,0.0,0,0,0,0,0,,,,,,
MLM1941249365,0,0.0,0,0,0,0,0,,,,,,
MLM1959245293,1,5.0,0,0,0,0,1,,,,,,
MLM2462307954,0,0.0,0,0,0,0,0,,,,,,
MLM1503612479,4,4.8,0,0,0,1,3,,,,,,
MLM1917385757,0,0.0,0,0,0,0,0,,,,,,
MLM1468607329,1,5.0,0,0,0,0,1,,,,,,
MLM2448238590,0,0.0,0,0,0,0,0,,,,,,
MLM1807401516,4,5.0,0,0,0,0,4,,,,,,
MLM1960945643,0,0.0,0,0,0,0,0,,,,,,
MLM2264477968,1,5.0,0,0,0,0,1,,,,,,
MLM2401070606,0,0.0,0,0,0,0,0,,,,,,
MLM1560954476,0,0.0,0,0,0,0,0,,,,,,
MLM1903027296,0,0.0,0,0,0,0,0,,,,,,
MLM1966221657,0,0.0,0,0,0,0,0,,,,,,
MLM1965095781,0,0.0,0,0,0,0,0,,,,,,
MLM2638363108,0,0.0,0,0,0,0,0,,,,,,
MLM1944918316,0,0.0,0,0,0,0,0,,,,,,
MLM2273051100,0,0.0,0,0,0,0,0,,,,,,
MLM2707500158,0,0.0,0,0,0,0,0,,,,,,
MLM1807267090,0,0.0,0,0,0,0,0,,,,,,
MLM1859477007,0,0.0,0,0,0,0,0,,,,,,
MLM1956306793,0,0.0,0,0,0,0,0,,,,,,
MLM1964373179,0,0.0,0,0,0,0,0,,,,,,
MLM1965082519,0,0.0,0,0,0,0,0,,,,,,
MLM1965095223,0,0.0,0,0,0,0,0,,,,,,
MLM1975694921,0,0.0,0,0,0,0,0,,,,,,
MLM1993920117,0,0.0,0,0,0,0,0,,,,,,
MLM2290752756,0,0.0,0,0,0,0,0,,,,,,
MLM1720961031,0,0.0,0,0,0,0,0,,,,,,
MLM1970691451,0,0.0,0,0,0,0,0,,,,,,
MLM1971517469,0,0.0,0,0,0,0,0,,,,,,
MLM1983504867,0,0.0,0,0,0,0,0,,,,,,
MLM1862152011,0,0.0,0,0,0,0,0,,,,,,
MLM1903004372,0,0.0,0,0,0,0,0,,,,,,
MLM1974987459,0,0.0,0,0,0,0,0,,,,,,
MLM2132631436,0,0.0,0,0,0,0,0,,,,,,
MLM2420026890,0,0.0,0,0,0,0,0,,,,,,
MLM2435832018,0,0.0,0,0,0,0,0,,,,,,
MLM2474154244,0,0.0,0,0,0,0,0,,,,,,
MLM2531227178,0,0.0,0,0,0,0,0,,,,,,
MLM2581453108,0,0.0,0,0,0,0,0,,,,,,
MLM2593420484,0,0.0,0,0,0,0,0,,,,,,
MLM2611902556,0,0.0,0,0,0,0,0,,,,,,
MLM2776534762,0,0.0,0,0,0,0,0,,,,,,
MLM1588128677,0,0.0,0,0,0,0,0,,,,,,
MLM1886137649,0,0.0,0,0,0,0,0,,,,,,
MLM1902817622,0,0.0,0,0,0,0,0,,,,,,
MLM1916111843,0,0.0,0,0,0,0,0,,,,,,
MLM1933538407,0,0.0,0,0,0,0,0,,,,,,
MLM1937544141,0,0.0,0,0,0,0,0,,,,,,
MLM1941449493,0,0.0,0,0,0,0,0,,,,,,
MLM1960979483,0,0.0,0,0,0,0,0,,,,,,
MLM1971913835,0,0.0,0,0,0,0,0,,,,,,
MLM1972174351,0,0.0,0,0,0,0,0,,,,,,
MLM1994165415,0,0.0,0,0,0,0,0,,,,,,
MLM2006001871,0,0.0,0,0,0,0,0,,,,,,
MLM2277009928,0,0.0,0,0,0,0,0,,,,,,
MLM2308422462,0,0.0,0,0,0,0,0,,,,,,
MLM2329812092,0,0.0,0,0,0,0,0,,,,,,
MLM2341989456,0,0.0,0,0,0,0,0,,,,,,
MLM2508190652,0,0.0,0,0,0,0,0,,,,,,
MLM2701209428,0,0.0,0,0,0,0,0,,,,,,
MLM1406359843,0,0.0,0,0,0,0,0,,,,,,
MLM1465990743,0,0.0,0,0,0,0,0,,,,,,
MLM1612036179,0,0.0,0,0,0,0,0,,,,,,
MLM1812359304,0,0.0,0,0,0,0,0,,,,,,
MLM1854723480,0,0.0,0,0,0,0,0,,,,,,
MLM1857268441,0,0.0,0,0,0,0,0,,,,,,
MLM1865585126,0,0.0,0,0,0,0,0,,,,,,
MLM1903004718,0,0.0,0,0,0,0,0,,,,,,
MLM1907660975,0,0.0,0,0,0,0,0,,,,,,
MLM1909821477,0,0.0,0,0,0,0,0,,,,,,
MLM1947746407,0,0.0,0,0,0,0,0,,,,,,
MLM1950883697,0,0.0,0,0,0,0,0,,,,,,
MLM1956490117,0,0.0,0,0,0,0,0,,,,,,
MLM1970171487,0,0.0,0,0,0,0,0,,,,,,
MLM1972754713,0,0.0,0,0,0,0,0,,,,,,
MLM2288157184,0,0.0,0,0,0,0,0,,,,,,
MLM2308258624,0,0.0,0,0,0,0,0,,,,,,
MLM2349702292,0,0.0,0,0,0,0,0,,,,,,
MLM2439308188,0,0.0,0,0,0,0,0,,,,,,
MLM2460702978,0,0.0,0,0,0,0,0,,,,,,
MLM2567528324,0,0.0,0,0,0,0,0,,,,,,
MLM2611318254,0,0.0,0,0,0,0,0,,,,,,
MLM2626629078,0,0.0,0,0,0,0,0,,,,,,
MLM2677213726,0,0.0,0,0,0,0,0,,,,,,
MLM2700501694,0,0.0,0,0,0,0,0,,,,,,
MLM2709519248,0,0.0,0,0,0,0,0,,,,,,
MLM2709532038,0,0.0,0,0,0,0,0,,,,,,
MLM2770385218,0,0.0,0,0,0,0,0,,,,,,
MLM1438222096,0,0.0,0,0,0,0,0,,,,,,
MLM1441776612,0,0.0,0,0,0,0,0,,,,,,
MLM1504034298,0,0.0,0,0,0,0,0,,,,,,
MLM1532515085,0,0.0,0,0,0,0,0,,,,,,
MLM1598602136,0,0.0,0,0,0,0,0,,,,,,
MLM1686075810,0,0.0,0,0,0,0,0,,,,,,
MLM1806750615,0,0.0,0,0,0,0,0,,,,,,
MLM1833371212,0,0.0,0,0,0,0,0,,,,,,
MLM1840666510,0,0.0,0,0,0,0,0,,,,,,
MLM1853921117,0,0.0,0,0,0,0,0,,,,,,
MLM1859858522,0,0.0,0,0,0,0,0,,,,,,
MLM1861267900,0,0.0,0,0,0,0,0,,,,,,
MLM1865021970,0,0.0,0,0,0,0,0,,,,,,
MLM1903004370,2,5.0,0,0,0,0,2,,,,,,
MLM1937297809,0,0.0,0,0,0,0,0,,,,,,
MLM1918494951,0,0.0,0,0,0,0,0,,,,,,
MLM1942371317,0,0.0,0,0,0,0,0,,,,,,
MLM1943232537,1,5.0,0,0,0,0,1,,,,,,
MLM1949602285,0,0.0,0,0,0,0,0,,,,,,
MLM1955813123,0,0.0,0,0,0,0,0,,,,,,
MLM1956458051,0,0.0,0,0,0,0,0,,,,,,
MLM1960524617,0,0.0,0,0,0,0,0,,,,,,
MLM1963449849,0,0.0,0,0,0,0,0,,,,,,
MLM1964230003,0,0.0,0,0,0,0,0,,,,,,
MLM1981481787,0,0.0,0,0,0,0,0,,,,,,
MLM1985156127,0,0.0,0,0,0,0,0,,,,,,
MLM1985156129,0,0.0,0,0,0,0,0,,,,,,
MLM1992182857,0,0.0,0,0,0,0,0,,,,,,
MLM2002772767,0,0.0,0,0,0,0,0,,,,,,
MLM2185695344,0,0.0,0,0,0,0,0,,,,,,
MLM2198371002,0,0.0,0,0,0,0,0,,,,,,
MLM2202240722,0,0.0,0,0,0,0,0,,,,,,
MLM2239450828,0,0.0,0,0,0,0,0,,,,,,
MLM2308386380,0,0.0,0,0,0,0,0,,,,,,
MLM2308422410,0,0.0,0,0,0,0,0,,,,,,
MLM2308410844,0,0.0,0,0,0,0,0,,,,,,
MLM2309135912,0,0.0,0,0,0,0,0,,,,,,
MLM2314822848,0,0.0,0,0,0,0,0,,,,,,
MLM2333513912,0,0.0,0,0,0,0,0,,,,,,
MLM2343961662,0,0.0,0,0,0,0,0,,,,,,
MLM2359122420,0,0.0,0,0,0,0,0,,,,,,
MLM2361609886,0,0.0,0,0,0,0,0,,,,,,
MLM2479700892,0,0.0,0,0,0,0,0,,,,,,
MLM2519040742,0,0.0,0,0,0,0,0,,,,,,
MLM2530013868,0,0.0,0,0,0,0,0,,,,,,
MLM2531211242,0,0.0,0,0,0,0,0,,,,,,
MLM2535788018,0,0.0,0,0,0,0,0,,,,,,
MLM2551576650,0,0.0,0,0,0,0,0,,,,,,
MLM2562658482,0,0.0,0,0,0,0,0,,,,,,
MLM2594375386,0,0.0,0,0,0,0,0,,,,,,
MLM2604751690,0,0.0,0,0,0,0,0,,,,,,
MLM2626928046,0,0.0,0,0,0,0,0,,,,,,
MLM2639963806,0,0.0,0,0,0,0,0,,,,,,
MLM2672958430,0,0.0,0,0,0,0,0,,,,,,
MLM2706157436,0,0.0,0,0,0,0,0,,,,,,
MLM2709419634,0,0.0,0,0,0,0,0,,,,,,
MLM2734744886,0,0.0,0,0,0,0,0,,,,,,
MLM2796458858,0,0.0,0,0,0,0,0,,,,,,
MLM949618663,0,0.0,0,0,0,0,0,,,,,,
MLM955204980,2,5.0,0,0,0,0,2,,,,,,
MLM1359307116,0,0.0,0,0,0,0,0,,,,,,
MLM1423571760,0,0.0,0,0,0,0,0,,,,,,
MLM1461295100,0,0.0,0,0,0,0,0,,,,,,
MLM1462690480,0,0.0,0,0,0,0,0,,,,,,
MLM1481297228,0,0.0,0,0,0,0,0,,,,,,
MLM1484755803,0,0.0,0,0,0,0,0,,,,,,
MLM1492104619,0,0.0,0,0,0,0,0,,,,,,
MLM1494969923,0,0.0,0,0,0,0,0,,,,,,
MLM1504422751,0,0.0,0,0,0,0,0,,,,,,
MLM1528901611,0,0.0,0,0,0,0,0,,,,,,
MLM1531188306,0,0.0,0,0,0,0,0,,,,,,
MLM1544520869,0,0.0,0,0,0,0,0,,,,,,
MLM1545312408,0,0.0,0,0,0,0,0,,,,,,
MLM1562240714,0,0.0,0,0,0,0,0,,,,,,
MLM1567588418,0,0.0,0,0,0,0,0,,,,,,
MLM1572140764,0,0.0,0,0,0,0,0,,,,,,
MLM1592424626,0,0.0,0,0,0,0,0,,,,,,
MLM1662117725,0,0.0,0,0,0,0,0,,,,,,
MLM1689242966,0,0.0,0,0,0,0,0,,,,,,
MLM1700772371,0,0.0,0,0,0,0,0,,,,,,
MLM1702264216,0,0.0,0,0,0,0,0,,,,,,
MLM1733040924,0,0.0,0,0,0,0,0,,,,,,
MLM1747546625,0,0.0,0,0,0,0,0,,,,,,
MLM1752886215,0,0.0,0,0,0,0,0,,,,,,
MLM1772232619,0,0.0,0,0,0,0,0,,,,,,
MLM1787043832,0,0.0,0,0,0,0,0,,,,,,
MLM1806756176,0,0.0,0,0,0,0,0,,,,,,
MLM1808958485,0,0.0,0,0,0,0,0,,,,,,
MLM1849918191,0,0.0,0,0,0,0,0,,,,,,
MLM1851899003,0,0.0,0,0,0,0,0,,,,,,
MLM1855943427,0,0.0,0,0,0,0,0,,,,,,
MLM1859454275,0,0.0,0,0,0,0,0,,,,,,
MLM1860806041,0,0.0,0,0,0,0,0,,,,,,
MLM1862116209,0,0.0,0,0,0,0,0,,,,,,
MLM1864659040,0,0.0,0,0,0,0,0,,,,,,
MLM1866167507,0,0.0,0,0,0,0,0,,,,,,
MLM1870673591,0,0.0,0,0,0,0,0,,,,,,
MLM1877790049,0,0.0,0,0,0,0,0,,,,,,
MLM1917800205,0,0.0,0,0,0,0,0,,,,,,
MLM1920476433,0,0.0,0,0,0,0,0,,,,,,
MLM1922015065,0,0.0,0,0,0,0,0,,,,,,
MLM1922086791,0,0.0,0,0,0,0,0,,,,,,
MLM1923713441,0,0.0,0,0,0,0,0,,,,,,
MLM1938832965,0,0.0,0,0,0,0,0,,,,,,
MLM1937319841,0,0.0,0,0,0,0,0,,,,,,
MLM1944918796,0,0.0,0,0,0,0,0,,,,,,
MLM1943095185,0,0.0,0,0,0,0,0,,,,,,
MLM1944987117,0,0.0,0,0,0,0,0,,,,,,
MLM1950507775,0,0.0,0,0,0,0,0,,,,,,
MLM1954659305,0,0.0,0,0,0,0,0,,,,,,
MLM1955298973,0,0.0,0,0,0,0,0,,,,,,
MLM1955777383,0,0.0,0,0,0,0,0,,,,,,
MLM1956344009,0,0.0,0,0,0,0,0,,,,,,
MLM1958053099,0,0.0,0,0,0,0,0,,,,,,
MLM1960998455,0,0.0,0,0,0,0,0,,,,,,
MLM1964274481,0,0.0,0,0,0,0,0,,,,,,
MLM1967850341,0,0.0,0,0,0,0,0,,,,,,
MLM1970137577,0,0.0,0,0,0,0,0,,,,,,
MLM1971448319,0,0.0,0,0,0,0,0,,,,,,
