ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM2007285957,0,0.0,0,0,0,0,0
MLM817994738,1,5.0,0,0,0,0,1
MLM2694094208,1,5.0,0,0,0,0,1
MLM668870940,3,4.7,0,0,0,1,2
MLM679463750,1,5.0,0,0,0,0,1
MLM2815140972,0,0.0,0,0,0,0,0
MLM2291589010,0,0.0,0,0,0,0,0
MLM903043339,0,0.0,0,0,0,0,0
MLM2309218922,4,5.0,0,0,0,0,4
MLM2813821100,0,0.0,0,0,0,0,0
MLM2694119498,1,5.0,0,0,0,0,1
MLM1758750175,1,5.0,0,0,0,0,1
MLM1633302863,1,5.0,0,0,0,0,1
MLM677763961,4,4.3,0,1,0,0,3
MLM1952177383,0,0.0,0,0,0,0,0
MLM1415900972,2,5.0,0,0,0,0,2
MLM1774339461,0,0.0,0,0,0,0,0
MLM1768650342,0,0.0,0,0,0,0,0
MLM1714621794,3,5.0,0,0,0,0,3
MLM1910206438,1,5.0,0,0,0,0,1
MLM1995721583,0,0.0,0,0,0,0,0
MLM1814825289,1,5.0,0,0,0,0,1
MLM1585453072,6,4.2,1,0,0,1,4
MLM800162009,7,4.6,0,1,0,0,6
MLM760510963,5,3.2,2,0,0,1,2
MLM698246024,1,5.0,0,0,0,0,1
MLM2249335594,0,0.0,0,0,0,0,0
MLM2008474059,0,0.0,0,0,0,0,0
MLM1357765139,0,0.0,0,0,0,0,0
MLM1875961347,10,5.0,0,0,0,0,10
MLM893377766,0,0.0,0,0,0,0,0
MLM624934069,0,0.0,0,0,0,0,0
MLM1801880218,0,0.0,0,0,0,0,0
MLM1564576897,7,2.3,3,2,0,1,1
MLM1717276693,4,4.0,1,0,0,0,3
MLM1342160117,1,5.0,0,0,0,0,1
MLM1770855749,0,0.0,0,0,0,0,0
MLM1771903149,1,5.0,0,0,0,0,1
MLM1611795196,14,3.8,2,1,2,2,7
MLM2785715994,0,0.0,0,0,0,0,0
MLM1767279970,9,4.6,0,0,1,2,6
MLM2801218174,1,4.0,0,0,0,1,0
MLM1853976156,0,0.0,0,0,0,0,0
MLM2581066630,0,0.0,0,0,0,0,0
MLM2826679274,0,0.0,0,0,0,0,0
MLM1507703811,0,0.0,0,0,0,0,0
MLM1963301057,0,0.0,0,0,0,0,0
MLM1464198687,3,5.0,0,0,0,0,3
MLM2310148412,0,0.0,0,0,0,0,0
MLM1857401213,0,0.0,0,0,0,0,0
MLM804529957,9,4.7,0,0,1,1,7
MLM750043839,8,5.0,0,0,0,0,8
MLM2694197502,0,0.0,0,0,0,0,0
MLM893369700,0,0.0,0,0,0,0,0
MLM1750867884,0,0.0,0,0,0,0,0
MLM1967281295,0,0.0,0,0,0,0,0
MLM1738851399,10,3.2,4,0,1,0,5
MLM1831922293,0,0.0,0,0,0,0,0
MLM1678012014,5,4.8,0,0,0,1,4
MLM714894015,4,3.0,1,1,0,1,1
MLM1492241092,1,5.0,0,0,0,0,1
MLM1999789863,0,0.0,0,0,0,0,0
MLM770185544,1,5.0,0,0,0,0,1
MLM2815140894,0,0.0,0,0,0,0,0
MLM1967496677,0,0.0,0,0,0,0,0
MLM1433053596,2,4.0,0,0,1,0,1
MLM1956084937,0,0.0,0,0,0,0,0
MLM771538016,0,0.0,0,0,0,0,0
MLM2806420828,0,0.0,0,0,0,0,0
MLM761929456,4,4.8,0,0,0,1,3
MLM2603677548,0,0.0,0,0,0,0,0
MLM1853781875,0,0.0,0,0,0,0,0
MLM761935856,0,0.0,0,0,0,0,0
MLM784952336,11,4.2,1,1,1,0,8
MLM2249388058,0,0.0,0,0,0,0,0
MLM1859864928,1,5.0,0,0,0,0,1
MLM1733344168,21,4.4,1,1,1,3,15
MLM2733419636,0,0.0,0,0,0,0,0
MLM2000520287,0,0.0,0,0,0,0,0
MLM1679228128,0,0.0,0,0,0,0,0
MLM751543865,5,4.2,1,0,0,0,4
MLM1774290316,0,0.0,0,0,0,0,0
MLM1550280914,2,4.0,0,0,1,0,1
MLM804358276,1,5.0,0,0,0,0,1
MLM1376532520,0,0.0,0,0,0,0,0
MLM1857746507,8,3.8,2,0,0,2,4
MLM868338696,0,0.0,0,0,0,0,0
MLM1649484441,1,5.0,0,0,0,0,1
MLM742996396,2,5.0,0,0,0,0,2
MLM2278562954,0,0.0,0,0,0,0,0
MLM1952185462,0,0.0,0,0,0,0,0
MLM2310173856,0,0.0,0,0,0,0,0
MLM1987720193,0,0.0,0,0,0,0,0
MLM2327675922,0,0.0,0,0,0,0,0
MLM754502996,0,0.0,0,0,0,0,0
MLM1789312646,0,0.0,0,0,0,0,0
MLM903043255,0,0.0,0,0,0,0,0
MLM762548714,0,0.0,0,0,0,0,0
MLM1770855870,0,0.0,0,0,0,0,0
MLM1812389389,0,0.0,0,0,0,0,0
MLM1822616440,0,0.0,0,0,0,0,0
MLM1571655675,1,5.0,0,0,0,0,1
MLM1917444745,0,0.0,0,0,0,0,0
MLM2803170796,0,0.0,0,0,0,0,0
MLM804366377,0,0.0,0,0,0,0,0
MLM2245702988,1,4.0,0,0,0,1,0
MLM1770828465,0,0.0,0,0,0,0,0
MLM714896936,6,4.8,0,0,0,1,5
MLM1944079123,0,0.0,0,0,0,0,0
MLM1499742438,0,0.0,0,0,0,0,0
MLM903047601,0,0.0,0,0,0,0,0
MLM771538486,0,0.0,0,0,0,0,0
MLM1770785986,0,0.0,0,0,0,0,0
MLM1774288655,0,0.0,0,0,0,0,0
MLM902163427,3,4.3,0,0,1,0,2
MLM2822817430,0,0.0,0,0,0,0,0
MLM960425195,2,5.0,0,0,0,0,2
MLM2254567380,0,0.0,0,0,0,0,0
MLM1900487999,0,0.0,0,0,0,0,0
MLM893377939,0,0.0,0,0,0,0,0
MLM912789006,0,0.0,0,0,0,0,0
MLM2598023860,0,0.0,0,0,0,0,0
MLM1408924423,1,5.0,0,0,0,0,1
MLM912798215,0,0.0,0,0,0,0,0
MLM796422664,0,0.0,0,0,0,0,0
MLM822121016,0,0.0,0,0,0,0,0
MLM932173638,0,0.0,0,0,0,0,0
MLM2465549692,0,0.0,0,0,0,0,0
MLM822595908,0,0.0,0,0,0,0,0
MLM885184348,0,0.0,0,0,0,0,0
MLM1431533065,1,5.0,0,0,0,0,1
MLM1845772110,1,5.0,0,0,0,0,1
MLM759845499,4,4.5,0,0,1,0,3
