ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM1596885435,120,4.8,0,3,2,15,100
MLM1602792084,76,4.8,1,0,4,6,65
MLM1602831528,27,4.9,0,0,0,2,25
MLM731862126,5,5.0,0,0,0,0,5
MLM1602840503,18,5.0,0,0,0,0,18
MLM2253390054,1,5.0,0,0,0,0,1
MLM1772068542,6,5.0,0,0,0,0,6
MLM731830180,1,5.0,0,0,0,0,1
MLM804229508,26,4.5,0,1,3,3,19
MLM1602792626,26,4.6,0,0,2,6,18
MLM1780335989,4,4.8,0,0,0,1,3
MLM1696244658,1,5.0,0,0,0,0,1
MLM1780221568,2,5.0,0,0,0,0,2
MLM733551887,12,4.8,0,0,0,2,10
MLM1300590765,13,4.7,1,0,0,0,12
MLM1780227640,2,4.5,0,0,0,1,1
MLM2538338402,2,5.0,0,0,0,0,2
MLM1482254468,3,4.7,0,0,0,1,2
MLM2479696264,3,4.7,0,0,0,1,2
MLM1602813423,6,5.0,0,0,0,0,6
MLM1780227747,1,5.0,0,0,0,0,1
MLM1780324325,0,0.0,0,0,0,0,0
MLM1426657404,0,0.0,0,0,0,0,0
MLM925214380,6,4.5,0,1,0,0,5
MLM1362786494,3,5.0,0,0,0,0,3
MLM2100072418,3,5.0,0,0,0,0,3
MLM1696418643,0,0.0,0,0,0,0,0
MLM725966566,41,4.8,1,0,0,3,37
MLM1772029822,2,4.5,0,0,0,1,1
MLM1696475860,1,5.0,0,0,0,0,1
MLM725972935,12,4.9,0,0,0,1,11
MLM1900374715,0,0.0,0,0,0,0,0
MLM1873640830,0,0.0,0,0,0,0,0
MLM1780342587,14,5.0,0,0,0,0,14
MLM1772075074,0,0.0,0,0,0,0,0
MLM731831162,14,4.6,0,1,0,2,11
MLM2481303452,1,4.0,0,0,0,1,0
MLM2316983154,0,0.0,0,0,0,0,0
MLM1904676047,0,0.0,0,0,0,0,0
MLM1780246709,2,4.5,0,0,0,1,1
MLM1780324414,2,5.0,0,0,0,0,2
MLM1903180163,3,5.0,0,0,0,0,3
MLM733613943,5,4.0,1,0,0,1,3
MLM912116935,0,0.0,0,0,0,0,0
MLM1323738995,2,5.0,0,0,0,0,2
MLM806917673,3,4.0,0,0,1,1,1
MLM1324548623,12,4.2,1,1,1,1,8
MLM1817974895,3,5.0,0,0,0,0,3
MLM1883526960,2,5.0,0,0,0,0,2
MLM731840886,5,4.8,0,0,0,1,4
MLM749894639,51,4.4,1,3,2,12,33
MLM1458955045,19,4.7,0,0,1,4,14
MLM1312852768,19,4.5,1,1,1,1,15
MLM2580067578,0,0.0,0,0,0,0,0
MLM2481302846,0,0.0,0,0,0,0,0
MLM2481341524,3,5.0,0,0,0,0,3
MLM911900691,0,0.0,0,0,0,0,0
MLM1765105801,0,0.0,0,0,0,0,0
MLM1419067792,4,3.3,1,0,1,1,1
MLM2251251812,2,4.5,0,0,0,1,1
MLM1378993661,1,5.0,0,0,0,0,1
MLM1419144696,7,4.6,0,0,0,3,4
MLM1880842311,2,5.0,0,0,0,0,2
MLM1602813643,1,5.0,0,0,0,0,1
MLM629752131,2,5.0,0,0,0,0,2
MLM1780075165,0,0.0,0,0,0,0,0
MLM1410532788,13,4.5,1,1,0,0,11
MLM1944054543,0,0.0,0,0,0,0,0
MLM1324548592,12,4.9,0,0,0,1,11
MLM2580029098,2,5.0,0,0,0,0,2
MLM1765123418,4,4.8,0,0,0,1,3
MLM2792779982,0,0.0,0,0,0,0,0
MLM1812558423,1,5.0,0,0,0,0,1
MLM1944054967,2,5.0,0,0,0,0,2
MLM849741730,0,0.0,0,0,0,0,0
MLM817800129,1,5.0,0,0,0,0,1
MLM1605655052,0,0.0,0,0,0,0,0
MLM712261319,49,4.7,2,0,0,7,40
MLM2253277518,1,5.0,0,0,0,0,1
MLM733611088,1,5.0,0,0,0,0,1
MLM613303260,7,5.0,0,0,0,0,7
MLM785088308,2,5.0,0,0,0,0,2
MLM725969805,7,4.6,0,0,0,3,4
MLM1696654619,2,5.0,0,0,0,0,2
MLM1400531867,11,4.1,0,2,2,0,7
MLM728495073,0,0.0,0,0,0,0,0
MLM1765134898,2,4.5,0,0,0,1,1
MLM760767267,6,4.8,0,0,0,1,5
MLM1400556916,0,0.0,0,0,0,0,0
MLM1458952901,4,4.5,0,0,0,2,2
MLM2253227710,0,0.0,0,0,0,0,0
MLM1696475841,2,4.5,0,0,0,1,1
MLM2253390108,1,4.0,0,0,0,1,0
MLM2316997946,0,0.0,0,0,0,0,0
MLM1974359655,0,0.0,0,0,0,0,0
MLM1873486578,1,5.0,0,0,0,0,1
MLM1859369981,6,4.7,0,0,0,2,4
MLM1906503031,2,4.5,0,0,0,1,1
MLM1458904374,2,5.0,0,0,0,0,2
MLM1419756233,1,5.0,0,0,0,0,1
MLM2113200536,5,4.6,0,0,1,0,4
MLM2479683886,0,0.0,0,0,0,0,0
MLM2077627114,0,0.0,0,0,0,0,0
MLM725949224,31,4.7,0,1,1,4,25
MLM847963570,2,4.5,0,0,0,1,1
MLM1482415157,4,4.3,0,0,0,3,1
MLM1419701599,0,0.0,0,0,0,0,0
MLM2667105546,0,0.0,0,0,0,0,0
MLM1465661147,2,5.0,0,0,0,0,2
MLM1525431607,0,0.0,0,0,0,0,0
MLM896476186,0,0.0,0,0,0,0,0
MLM1324561545,3,5.0,0,0,0,0,3
MLM941227250,3,5.0,0,0,0,0,3
MLM731862336,1,5.0,0,0,0,0,1
MLM958631593,48,4.6,0,3,1,9,35
MLM1313436247,25,4.8,0,0,1,3,21
MLM822055745,11,4.8,0,0,0,2,9
MLM1912283693,0,0.0,0,0,0,0,0
MLM689115480,11,4.4,0,0,1,5,5
MLM1426709037,7,4.3,0,0,2,1,4
MLM1780184217,0,0.0,0,0,0,0,0
MLM2253277378,0,0.0,0,0,0,0,0
MLM1696642242,4,4.5,0,0,0,2,2
MLM1420955604,6,4.0,1,0,0,2,3
MLM2376393316,0,0.0,0,0,0,0,0
MLM1953566340,0,0.0,0,0,0,0,0
MLM1915746127,1,5.0,0,0,0,0,1
MLM1696654637,2,5.0,0,0,0,0,2
MLM1459110262,0,0.0,0,0,0,0,0
MLM731838899,11,4.7,0,0,0,3,8
MLM946414459,10,5.0,0,0,0,0,10
MLM2253290390,0,0.0,0,0,0,0,0
