id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3
CDRBÁMTD,25,332.10,5.0,7,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.6,Calidad de las terminaciones,5
JÁMTCCMML,5,320.23,4.5,2,50%;,50%;,0%;,0%;,0%;,,,,,,
