id,Calificación,Fecha,Reseña,Cantidad de imagenes,Utilidad
CBPVAT1,5,28 ago. 2022,"Quedé encantado con mi compra, la tela es de excelente calidad, parecen cortinas muy costosas. Te ayuda mucho a que no entre tanto calor/frío a tu habitación y por lo grueso no deja entrar nada de luz, me encantaron la tela no se transparenta las costuras muy bien me parece todo excelente me parece muy buena compra. Súper recomendables!.",0,45
CBPVAT1,5,18 ene. 2023,"Bonita tela y calidad, solo incluye 1 cortina.",0,47
CBPVAT1,5,20 mar. 2023,"Muy buena cortina, ojo porque solo viene una y bloquea el 95% de la luz por lo que se llega a pasar un poco pero aún así cumple su función.",1,23
CBPVAT1,5,10 feb. 2023,Buen producto buen precio buen material y realmente ayuda a bajar la temperatura del cuarto.,1,19
CBPVAT1,5,12 feb. 2023,"Excelente tapan mucho la entrada de luz solar, me gustó la tela y la calidad.",1,5
CBPVAT1,5,30 abr. 2023,"La calidad es buena y si cubre mucho del sol solo que yo esperaba que fuera el par (no leí bien) para el precio pues se me hace considerable pero fuera de ahí muy bonitas y calidad buena, encargaré otra para completar el par.",1,4
CBPVAT1,5,07 feb. 2023,"Muy buena calidad, mucho mejor de lo que esperaba y con detalle de estrellas muy bonito y elegante. Recomendable.",1,2
CBPVAT1,5,12 feb. 2023,"Pensé que eran dos hojas, pero había comprado dos y no me arrepiento. Lo recomiendo.",0,2
CBPVAT1,5,26 ene. 2023,Cumple lo que esperaba. Buena ooción.,0,2
CBPVAT1,5,06 jun. 2023,"Excelente calidad, el detalle de los listones muy bonito.",1,1
CBPVAT1,5,02 jun. 2023,"Me encanta, cubre muy bien de la luz y el calor, recomendadisima y a buen precio.",1,1
CBPVAT1,5,30 abr. 2023,Buen producto me dio buena espectativa.,0,1
CBPVAT1,5,29 abr. 2023,"A mi me quedaron excelente, no entra nada de luz, y si quieres que entre es fácil deslizarlas a las orillas.",0,1
CBPVAT1,5,12 feb. 2023,"Super bonitas, de buena calidad, venían muy arrugadas por lo cual prosegui a plancharlas “error” la queme un poco, si van a plancharlas que sea con vapor 🥲😂 pero excelente producto🫶🏻.",0,1
CBPVAT1,5,27 ago. 2022,"Me hacía falta para completar una ventana que entra mucha luz, ésta es ideal para quitar esa iluminación. Me sirvió que tuviera hechos los ojales y grandes para pasar un tubo cortinero de buena medida. Al tacto se siente suave y lucen en mi espacio.",0,1
CBPVAT1,5,02 oct. 2023,Excelente calidad y muy elegantes.,1,0
CBPVAT1,5,25 sep. 2023,Están muy bonitas y cumplen con lo prometido me encantó 😍.,1,0
CBPVAT1,5,21 sep. 2023,"Excelente justo, las medidas exactas 💕.",1,0
CBPVAT1,5,18 sep. 2023,Muy bonito material resistente se ve buena calidad.,1,0
CBPVAT1,5,13 sep. 2023,,1,0
CBPVAT1,5,12 sep. 2023,Buena calidad!. Si compraría nuevamente.,1,0
CBPVAT1,5,11 sep. 2023,"Me gusto, por el precio la recomiendo.",1,0
CBPVAT1,5,10 sep. 2023,Buena calidad y funcional.,1,0
CBPVAT1,5,09 sep. 2023,,1,0
CBPVAT1,5,01 sep. 2023,Bueno en relación con el precio cumple la función de no dejar pasar la luz.,1,0
CBPVAT1,5,31 ago. 2023,"Muy bonita, me gustó mucho, la tela de buena calidad.",1,0
CBPVAT1,5,30 ago. 2023,"Muy buen producto, cumple con su función y la relación precio calidad rebaso mis expectativas.",1,0
CBPVAT1,5,26 ago. 2023,"Cumple su función, solo que el precio es muy elevado para una sola cortina y hasta ahora se está mancando la cortina por el sol.",1,0
CBPVAT1,5,26 ago. 2023,Muy bien producto si cumple con lo que promete yo le doy un 10😂.,1,0
CBPVAT1,5,23 ago. 2023,"Me gustaron mucho si se ven gruesas , compré 2 para cubrir mi ventana , pero quedé satisfecha.",1,0
CBPVAT1,5,22 ago. 2023,,1,0
CBPVAT1,5,15 ago. 2023,Me encantaron 🤩 bloque la entrada de luz ☺️☺️.,1,0
CBPVAT1,5,11 ago. 2023,Súper recomendable aparte de que no deja pasar la luz del sol son hasta las 11am y parece de noche con estas cortinas yo le añadí unas blancas en otro cortinero así dejo pasar luz cuando se requiere.,1,0
CBPVAT1,5,10 ago. 2023,"Creí que venían en par, pero son por pieza.",1,0
CBPVAT1,5,10 ago. 2023,"Tapa bien la luz, en defensa a la foto, en verdad que donde está mi cuarto es de dónde sale más el sol.",1,0
CBPVAT1,5,31 jul. 2023,Mejor de lo que pensé! si las recomiendo.,1,0
CBPVAT1,5,29 jul. 2023,"Me encantó, no entra absolutamente nada de luz , quedé fascinada.",1,0
CBPVAT1,5,22 jul. 2023,"Me encantaron, cuando estan las dos cortinas cerradas no se ve absolutamente nada, no entra nada de luz. Estas podrian servirle a quien trabaja de noche, para que la luz no los despierte. Un 10/10.",1,0
CBPVAT1,5,13 jul. 2023,Me gusto bastante.,1,0
