ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM1985416177,4,4.5,0,0,0,2,2
MLM1970154395,17,4.8,0,0,0,4,13
MLM1808689047,1056,4.7,11,18,51,148,828
MLM1536513592,924,4.9,6,1,17,70,830
MLM1329393366,1206,4.3,58,48,123,175,802
MLM2080838242,118,4.7,2,1,6,17,92
MLM1407594114,1329,4.4,58,43,111,211,906
MLM1950196049,3,5.0,0,0,0,0,3
MLM1861592774,269,4.8,1,1,5,24,238
MLM1971674079,5,4.8,0,0,0,1,4
MLM1477990208,92,4.8,2,0,0,10,80
MLM1959749907,6,5.0,0,0,0,0,6
MLM888948416,160,4.6,6,1,9,12,132
MLM1888217145,241,4.6,6,3,13,32,187
MLM1836177300,524,4.8,2,5,10,39,468
MLM2544469280,79,4.7,2,0,1,13,63
MLM2597007578,4,5.0,0,0,0,0,4
MLM1572084592,297,4.6,8,6,20,42,221
MLM2548912126,0,0.0,0,0,0,0,0
MLM773483304,100,4.9,0,1,0,12,87
MLM1885480415,1485,4.7,23,10,78,210,1164
MLM1905374475,44,4.5,3,2,0,3,36
MLM1867762529,63,4.8,2,0,1,4,56
MLM1819828350,191,4.7,2,2,13,25,149
MLM1958273723,2,5.0,0,0,0,0,2
MLM2159812092,71,4.6,2,0,3,13,53
MLM1846349071,40,5.0,0,0,1,0,39
MLM938614924,163,4.5,5,4,14,23,117
MLM2776533756,0,0.0,0,0,0,0,0
MLM2807571528,0,0.0,0,0,0,0,0
MLM2430966012,9,4.4,0,1,1,0,7
MLM1908874201,40,4.7,0,0,2,8,30
MLM1913270784,153,4.7,1,2,7,19,124
MLM1448189040,66,4.7,2,0,1,9,54
MLM2268628124,52,4.9,0,0,0,4,48
MLM1835959915,99,4.7,3,1,3,11,81
MLM1376670760,133,4.7,5,0,3,9,116
MLM1752803968,47,4.7,2,0,2,4,39
MLM1898083092,32,4.9,0,0,0,2,30
MLM1407834571,434,4.4,17,16,44,57,300
MLM1496662979,107,4.6,1,3,7,12,84
MLM1662231826,78,4.5,2,0,10,8,58
MLM2186376650,95,4.7,2,0,1,15,77
MLM2770652290,2,4.5,0,0,0,1,1
MLM1860757463,33,4.7,1,0,0,5,27
MLM2638296692,1,5.0,0,0,0,0,1
MLM752502713,101,4.7,4,1,4,1,91
MLM1464475655,191,4.8,4,1,4,14,168
MLM1467302228,48,4.9,0,0,0,4,44
MLM2580603818,1,5.0,0,0,0,0,1
MLM2191727476,143,4.8,2,0,3,14,124
MLM1792898850,126,4.8,1,1,4,10,110
MLM1588123647,237,4.7,3,2,10,30,192
MLM2143493044,72,4.7,0,0,7,9,56
MLM1811347203,112,4.8,0,1,1,22,88
MLM2143534156,65,4.6,1,3,2,11,48
MLM1891040983,170,4.8,1,0,6,14,149
MLM2175538610,70,4.8,0,0,2,7,61
MLM1588148480,152,4.7,3,1,3,27,118
MLM1836060692,106,4.7,1,2,3,20,80
MLM1817832061,66,4.4,1,2,9,10,44
MLM1896182325,95,4.6,1,1,5,18,70
MLM1817831855,56,4.9,0,0,2,4,50
MLM2445214262,32,4.6,1,0,2,5,24
MLM1614443105,71,4.7,0,1,2,11,57
MLM1475171735,88,4.9,0,0,0,10,78
MLM1393359788,24,4.9,0,0,0,2,22
MLM740642092,133,4.4,9,7,5,13,99
MLM1716556100,58,4.6,0,2,4,8,44
MLM1911894077,10,5.0,0,0,0,0,10
MLM1819824028,78,4.3,4,4,7,10,53
MLM2638184758,0,0.0,0,0,0,0,0
MLM2218456464,31,4.6,1,1,1,4,24
MLM938685912,27,4.8,0,0,1,3,23
MLM1477931320,86,4.9,0,0,0,9,77
MLM1888778595,10,4.7,0,0,0,3,7
MLM2358092478,26,4.8,0,0,1,3,22
MLM1311915147,485,4.6,8,7,34,84,352
MLM1314660331,31,4.6,1,0,1,5,24
MLM1537424852,54,4.9,0,0,1,2,51
MLM871024546,128,4.7,2,1,6,17,102
MLM1931720771,28,4.9,0,0,0,4,24
MLM2226720882,18,4.8,0,0,0,4,14
MLM1379039822,8,4.4,1,0,0,1,6
MLM1910585827,8,4.8,0,0,1,0,7
MLM1332621624,21,4.8,0,0,1,2,18
MLM1791966565,108,4.8,1,1,4,5,97
MLM1694700319,20,4.7,0,0,2,2,16
MLM1786263561,7,5.0,0,0,0,0,7
MLM2180898116,15,4.9,0,0,1,0,14
MLM1943114265,5,4.8,0,0,0,1,4
MLM1451207921,39,4.7,0,0,4,3,32
