ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM2429594520,2023-11-22T00:03:45Z,Algunos de los barrotes se sumieron y eso que no tiene mucho peso mi hija tuve que poner una tabla para que emparejara el colchon.,3,4,3,0,2023-10-15T23:27:38Z,25,0,1,,,
MLM2429594520,2023-12-10T05:21:32Z,"Muy fácil de armar , bueno al menos deben ser 2 personas.
La estructura no es muy robusta así que no es muy firme, pero si funcional.
Espero que no se afloje tan rápido.",1,5,1,0,2023-11-20T16:04:58Z,33,0,0,,,
MLM2429594520,2024-01-09T06:52:33Z,,0,5,0,0,2023-12-11T04:32:58Z,0,0,2,,,
MLM2429594520,2023-10-11T19:21:35Z,,0,4,0,0,2023-09-06T17:23:37Z,0,0,1,,,
MLM2429594520,2023-10-12T00:54:58Z,Excelente calidad-precio.,0,4,0,0,2023-10-03T00:18:18Z,3,0,0,,,
MLM2342465004,2023-09-30T23:21:50Z,Excelente.,2,5,2,0,2023-09-20T22:30:08Z,1,0,1,,,
MLM1927479721,2023-09-24T16:30:33Z,"Excelente producto,dada la relación precio-calidad.
Además de la compra a meses sin intereses.
Lo recomiendo.",0,5,0,0,2023-09-04T20:00:04Z,17,20,0,,,
MLM911509723,2023-05-19T18:56:19Z,"Exelente calidad y facil de armar.
Mis hijas amaron sus literas.",7,5,7,0,2023-04-27T22:57:27Z,11,0,1,,,
MLM911509723,2023-06-23T07:41:06Z,"El armado no es claro ni fácil. La sección de la ventana no venía bien pegada, hay dos tablas que estéticamente se veían despegadas, pero no afecta su función. Incluyeron 10 tablas de soporte para cada colchón, pero son delgadas por lo que no son suficientes para dar buen soporte al colchón. La madera está muy bien lijada.",2,5,2,0,2023-05-29T22:27:01Z,58,0,0,,,
MLM911509723,2023-06-22T02:31:49Z,Muy bonita con buenos detalles en la madera se nota resistente por lo menos más de que si fuese de madera comprimida.,1,5,1,0,2023-05-29T22:03:33Z,22,0,0,,,
MLM911509723,2023-12-19T19:18:09Z,Muy buen producto esta super.,0,5,0,0,2023-11-20T22:01:02Z,5,0,0,,,
MLM911509723,2023-12-02T04:36:17Z,Excelente producto muy buena litera.,0,5,0,0,2022-01-19T04:27:50Z,5,0,0,,,
MLM911509723,2023-10-09T02:14:13Z,"Excelente calidad y buen trato, me encantó.",0,5,0,0,2023-08-30T18:46:23Z,7,0,0,,,
MLM911509723,2023-09-28T00:18:03Z,"Muy bonita, mis hijos quedaron encantados. El precio, calidad todo muy muy bien. La volvería a comprar.",0,5,0,0,2023-01-05T19:27:02Z,17,0,0,,,
MLM911509723,2023-08-09T23:07:14Z,Falta más detallado el armado. Los materiales son de buen calidad. Muy linda la cama igual que en foto.,0,5,0,0,2023-02-21T22:06:42Z,19,0,0,,,
