ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3,Atributo 4,Raiting_Promedio 4
MLM573397347,10,4.8,0,0,1,0,9,,,,,,,,
MLM1439383741,0,0.0,0,0,0,0,0,,,,,,,,
MLM724969772,0,0.0,0,0,0,0,0,,,,,,,,
MLM727561568,0,0.0,0,0,0,0,0,,,,,,,,
MLM1494171592,0,0.0,0,0,0,0,0,,,,,,,,
MLM1374955161,0,0.0,0,0,0,0,0,,,,,,,,
MLM1944091065,0,0.0,0,0,0,0,0,,,,,,,,
MLM1540519454,0,0.0,0,0,0,0,0,,,,,,,,
MLM1902313644,0,0.0,0,0,0,0,0,,,,,,,,
MLM1598075253,0,0.0,0,0,0,0,0,,,,,,,,
MLM845830024,0,0.0,0,0,0,0,0,,,,,,,,
MLM849228710,0,0.0,0,0,0,0,0,,,,,,,,
MLM1711305718,0,0.0,0,0,0,0,0,,,,,,,,
MLM1409494061,0,0.0,0,0,0,0,0,,,,,,,,
MLM1455659259,1,4.0,0,0,0,1,0,,,,,,,,
MLM666446476,0,0.0,0,0,0,0,0,,,,,,,,
MLM1829802454,1,5.0,0,0,0,0,1,,,,,,,,
MLM2693358236,0,0.0,0,0,0,0,0,,,,,,,,
MLM1489396361,0,0.0,0,0,0,0,0,,,,,,,,
MLM1973565619,0,0.0,0,0,0,0,0,,,,,,,,
MLM1982104147,0,0.0,0,0,0,0,0,,,,,,,,
MLM1426405881,0,0.0,0,0,0,0,0,,,,,,,,
MLM753995558,0,0.0,0,0,0,0,0,,,,,,,,
MLM1412578960,0,0.0,0,0,0,0,0,,,,,,,,
MLM1982615043,0,0.0,0,0,0,0,0,,,,,,,,
MLM2693499796,0,0.0,0,0,0,0,0,,,,,,,,
MLM1390849536,0,0.0,0,0,0,0,0,,,,,,,,
MLM909202738,0,0.0,0,0,0,0,0,,,,,,,,
MLM1443724124,0,0.0,0,0,0,0,0,,,,,,,,
MLM2465569914,0,0.0,0,0,0,0,0,,,,,,,,
MLM1954689073,0,0.0,0,0,0,0,0,,,,,,,,
MLM551639692,0,0.0,0,0,0,0,0,,,,,,,,
MLM1317773976,0,0.0,0,0,0,0,0,,,,,,,,
MLM558200947,0,0.0,0,0,0,0,0,,,,,,,,
MLM1878958279,0,0.0,0,0,0,0,0,,,,,,,,
MLM2595173078,0,0.0,0,0,0,0,0,,,,,,,,
MLM1346788579,0,0.0,0,0,0,0,0,,,,,,,,
MLM877523961,0,0.0,0,0,0,0,0,,,,,,,,
MLM934806838,1,5.0,0,0,0,0,1,,,,,,,,
MLM773010323,0,0.0,0,0,0,0,0,,,,,,,,
MLM2248634772,0,0.0,0,0,0,0,0,,,,,,,,
MLM1482417081,1,4.0,0,0,0,1,0,,,,,,,,
MLM1982602411,0,0.0,0,0,0,0,0,,,,,,,,
MLM1895736467,0,0.0,0,0,0,0,0,,,,,,,,
