ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM1884199549,2023-07-09T04:43:56Z,,3,4,4,1,2023-06-19T23:11:32Z,0,0,1,,,
MLM1884199549,2023-12-13T11:45:26Z,Ok.,0,5,0,0,2023-11-30T16:45:49Z,1,0,0,,,
MLM1338078402,2023-01-12T05:03:30Z,"El único detalle fue que uno de los lados quedó un par de milímetros arriba, es casi imperceptible. Puede que tenga que ver el armado, que intenté varias veces volviendo a armar pero obtuve el mismo resultado.",2,4,2,0,2022-11-22T04:05:03Z,37,0,0,,,
MLM1338078402,2023-10-26T05:24:11Z,"Excelente calidad y muy bella, yo la pedí a 30 cm, si está alta, pero pudo quedar mejor si la dejaba de 20 cm, aún así nos encanto 🫶🏻.",1,5,1,0,2023-10-18T05:07:00Z,28,0,2,,,
MLM1338078402,2022-08-11T22:55:09Z,"Buen producto, gran estética, instalación sencilla.",1,5,1,0,2022-07-14T18:04:00Z,6,0,0,,,
MLM1338078402,2022-04-18T17:17:58Z,"Muy buen producto, quede contento con la compra.",1,4,1,0,2022-03-15T00:55:18Z,8,20,0,,,
MLM1338078402,2024-01-07T01:14:30Z,"Todo estuvo bien, solo si me gustaría que viniera con instructivos y que vinieran todas las perforaciones ya echas, sería más práctico.",0,4,0,0,2023-11-28T03:53:12Z,22,0,0,,,
MLM1338078402,2023-12-20T13:59:07Z,"En general me gusta mucho.
Está muy sólida, se siente bien, pero me hubiese gustado que también llevaran barniz las tablas que sujetan el colchón, es de madera de pino que es muy suave y se maltrata muy fácil, así que hay que cuidarla. Sí la recomiendo.",0,4,0,0,2023-11-13T00:49:14Z,47,0,0,,,
MLM1338078402,2023-12-17T20:19:15Z,"El producto es muy bueno, lo único es que te lo tienen que armar.",0,4,0,0,2023-06-02T18:58:17Z,14,0,0,,,
MLM1338078402,2023-11-23T21:37:34Z,"La cama es preciosa pero nose porque le ponen el. Borde que lo separa de la pared y es incómodo para leer acostado en la cama, el resto todo bien!.",0,4,0,0,2023-05-08T18:08:05Z,30,0,0,,,
MLM1338078402,2023-10-07T14:59:50Z,"Muy buena compra, nos gustó porque no está tan alta.",0,5,0,0,2022-06-05T00:04:35Z,10,20,0,,,
