ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM573397347,2020-08-13T22:50:16Z,Buen producto lleho en buen estado.,1,3,1,0,2020-06-12T20:00:00Z,6,0,0,,,
MLM573397347,2020-03-24T00:43:07Z,"Fácil de armar, de buena calidad, segura para evitar las caídas y muy bonita!.",1,5,1,0,2020-02-27T20:00:00Z,14,0,0,,,
MLM573397347,2020-02-17T14:53:12Z,Exelente acabado muy profecional.,1,5,1,0,2019-12-11T20:00:00Z,4,0,0,,,
MLM573397347,2023-10-13T17:46:57Z,Excelente.,0,5,0,0,2022-01-25T21:03:08Z,1,0,0,,,
MLM573397347,2022-11-09T15:13:39Z,Muy lindo y de calidad.,0,5,0,0,2022-10-04T01:08:01Z,5,0,0,,,
MLM573397347,2020-08-08T13:48:19Z,Excelente acabados y estructura.,0,5,0,0,2020-05-31T20:00:00Z,4,0,0,,,
MLM573397347,2020-06-26T12:25:32Z,Tal como la descripción. Muy buen producto.,0,5,0,0,2020-04-30T20:00:00Z,7,0,0,,,
MLM573397347,2019-11-14T22:07:21Z,"Muy bonito, buenos acabados y fácil de armar.",0,5,0,0,2019-09-26T20:00:00Z,8,0,0,,,
MLM573397347,2018-07-31T11:56:45Z,Tal cual como se ve en la foto! gracias.,0,5,0,0,2020-07-23T00:17:33Z,9,0,0,,,
MLM573397347,2018-06-25T10:50:35Z,"Todo tal cual lo esperaba, producto de muy buena calidad.",0,5,0,0,0001-01-01T00:00:00Z,10,0,0,,,
MLM934806838,2022-04-07T10:58:17Z,"Buena calidad,los colchones permiten buen descanso excelente compra.",0,5,0,0,2022-03-15T20:38:29Z,9,20,0,,,
MLM807723380,2021-09-01T09:43:09Z,"Muy bonita, de muy buen material, fácil de armar , los colores muy vivíos, a mi hijo le encantó.",0,5,0,0,2021-07-26T21:19:35Z,18,20,0,,,
MLM873873874,2024-01-03T01:37:16Z,"Ya van a hacer2 años que adquirí su cama y a la fecha todo perfecto, mi hijo no es muy pesado pero nos aguanta a él y a mi para dormir, muy buena cama, recomendada.",0,5,0,0,2021-12-30T02:50:09Z,35,0,0,,,
MLM745561411,2020-12-08T14:36:06Z,"La cama me encantó. Es de material resistente y luce muy bien.
Por seguridad tuvieron que fijarla a la pared pero los chicos que la instalaron, trabajaron de manera rápida y limpia.
La cama es muy recomendable si la habitación de pequeña.",3,5,3,0,2020-10-13T20:00:00Z,42,0,0,,,
MLM1317145483,2023-04-28T00:22:23Z,Quiero juguetero y buró.,0,5,0,0,2023-04-12T19:45:15Z,4,0,0,,,
MLM1924053193,2023-11-10T12:27:34Z,"Me encantó. Super linda , fácil de armar y muy buena calidad.",0,5,0,0,2023-10-11T00:40:26Z,11,0,1,,,
